TimeHours	OD	LactosemM
0	0.01	0.5
2.13	0.034	0.5
4.35	0.086	0.5
4.72	0.094	0.5
5.17	0.098	0.5
5.57	0.101	0.5
5.97	0.101	0.5
6.30	0.101	0.5
6.73	0.1	0.5
7.20	0.101	0.5
0	0.01	1
2.15	0.037	1
4.366666667	0.109	1
4.733333333	0.128	1
5.183333333	0.152	1
5.6	0.173	1
5.983333333	0.18	1
6.316666667	0.186	1
6.783333333	0.19	1
7.216666667	0.185	1
7.7	0.189	1
8.766666667	0.189	1
0	0.01	2
2.166666667	0.039	2
4.4	0.113	2
4.75	0.141	2
5.2	0.18	2
5.633333333	0.232	2
6.016666667	0.274	2
6.366666667	0.315	2
6.766666667	0.334	2
7.25	0.344	2
7.716666667	0.344	2
8.216666667	0.353	2
8.75	0.349	2
9.166666667	0.348	2
0	0.01	5
2.2	0.04	5
4.416666667	0.121	5
4.766666667	0.151	5
5.216666667	0.192	5
5.666666667	0.246	5
6.033333333	0.309	5
6.35	0.395	5
6.8	0.523	5
7.3	0.716	5
7.783333333	0.854	5
8.183333333	0.908	5
8.633333333	0.842	5
8.7	0.856	5
9.216666667	0.852	5
0	0.01	10
2.233333333	0.042	10
4.433333333	0.127	10
4.8	0.154	10
5.233333333	0.201	10
5.683333333	0.248	10
6.05	0.345	10
6.383333333	0.423	10
6.833333333	0.568	10
7.333333333	0.806	10
7.833333333	1.078	10
8.166666667	1.444	10
8.716666667	1.76	10
9.25	1.652	10
